"Town_Code","Town_Name","Pop_T","city_class"
123,"Dara Pora",8464,"Class_5"
124,"Sool Koot",3973,"Class_6"
125,"Heri",6348,"Class_5"
126,"Trehgam",15587,"Class_4"
127,"Kral Pora",6518,"Class_5"
128,"Drug Mulla",12930,"Class_4"
369,"Tangdhar",9904,"Class_5"
370,"Nowangabra",5634,"Class_5"
720,"Ichgam",7461,"Class_5"
829,"Nagam",7365,"Class_5"
830,"Kral Pora",13889,"Class_4"
909,"Spituk",4047,"Class_6"
910,"Chuglamsar",10754,"Class_4"
1233,"Naka Majiari",5033,"Class_5"
2830,"Khonmoh",2664,"Class_6"
2834,"Now Gam",2490,"Class_6"
2835,"Lasjan",5281,"Class_5"
2883,"Safa Pora",10471,"Class_4"
2958,"Wail",8335,"Class_5"
4954,"Rehambal",7351,"Class_5"
4955,"Rathian",6365,"Class_5"
5415,"Talwara",5125,"Class_5"
5416,"Marhi",4392,"Class_6"
5963,"Bhalwal",14174,"Class_4"
5964,"Raipur Domana",20238,"Class_3"
5965,"Chak Ratnu",5228,"Class_5"
5966,"Nagrota",13836,"Class_4"
5967,"Chak  Kalu",4725,"Class_6"
5968,"Rakh Gadi Garh",7588,"Class_5"
5969,"Bhore",6360,"Class_5"
5970,"Chhatha",4758,"Class_6"
6176,"Dhande Kalan",4887,"Class_6"
6177,"Maralia",4327,"Class_6"
6178,"Nihalpur Simbal",3869,"Class_6"
6671,"Gorah Salathian",4629,"Class_6"
6672,"Birpur",7177,"Class_5"
8799,"Indora",4534,"Class_6"
12896,"Shamshi",8870,"Class_5"
23702,"Jhakhri",4655,"Class_6"
27401,"Kot",5406,"Class_5"
27772,"Jugial",15210,"Class_4"
27773,"Ghoh",6883,"Class_5"
27774,"Bungal",5257,"Class_5"
27775,"Daulatpur",12988,"Class_4"
27776,"Mamun",32689,"Class_3"
27777,"Dhaki",4203,"Class_6"
27778,"Manwal",6496,"Class_5"
27779,"Sarna",5847,"Class_5"
27780,"Malikpur",4645,"Class_6"
27781,"Tharial",5081,"Class_5"
